email,username,password
hunter.foudre@gmail.com,blaze41,ChenKostornaia48
dragonfly.wallside@hotmail.com,frost97,ZagitovaMedvedeva14
drax.valiant@yahoo.com,valiant85,MedvedevaZagitova63
wallside.wallside@yahoo.com,stonewall13,KwanZhou49
sundance.sundance@gmail.com,swift41,YagudinLipinski27
granite.sharp@gmail.com,sharp95,HanyuCurry21
blaze.sundance@gmail.com,shepard7,KostornaiaZagitova23
lance.blaze@hotmail.com,grim49,ZhouKwan33
grim.grim@hotmail.com,granite95,ZhouLipinski91
hunter.sharp@hotmail.com,sundance38,KihiraMedvedeva34
hawk.evans@hotmail.com,valiant36,KihiraLipinski11
swift.sundance@yahoo.com,swift2,UnoKihira40
vanguard.hurley@hotmail.com,grim45,HamiltonZagitova38
dragonfly.granite@gmail.com,drax99,UnoLipinski10
grim.lance@gmail.com,dragonfly41,PlushenkoChen27
drax.swift@yahoo.com,granite5,HanyuKostornaia60
folklore@gmail.com,lover_12,UnoYagudin13
style@yahoo.com,folklore_37,KagiyamaKostornaia52
swift.hunter@yahoo.com,sharp90,ChenKostornaia27
lover@hotmail.com,folklore_15,TrusovaKolyada58
valiant.granite@hotmail.com,valiant2,CurryCurry18
drax.shepard@gmail.com,shepard25,KolyadaUno10
sundance.shepard@yahoo.com,hawk67,HamiltonKihira75
grim.evans@hotmail.com,blaze36,LipinskiHanyu28
hurley.drax@yahoo.com,lance23,YagudinHamilton11
lance.sundance@gmail.com,sharp60,CurryHanyu51
frost.hunter@yahoo.com,dragonfly23,LipinskiMedvedeva12
blaze.dragonfly@yahoo.com,frost8,KagiyamaTrusova40
pleasureprinciple@yahoo.com,folklore_29,lachance2025
blaze.granite@hotmail.com,granite6,OrserCurry17
valiant.sundance@hotmail.com,frost69,CurryTrusova36
shepard.sharp@gmail.com,hawk30,YagudinOrser40
evans.wallside@hotmail.com,hunter55,KihiraKolyada71
drax.wallside@hotmail.com,drax57,KihiraShcherbakova27
dragonfly.shepard@yahoo.com,blaze13,TrusovaKolyada28
foudre.swift@hotmail.com,drax51,HamiltonMedvedeva94
swift.swift@yahoo.com,valiant49,TrusovaYagudin53
valiant.shepard@hotmail.com,stonewall39,MedvedevaLipinski95
blaze.nasty@yahoo.com,swift73,YagudinPlushenko34
hawk.swift@yahoo.com,hawk28,UnoHanyu16
drax.sharp@gmail.com,blaze87,HamiltonZhou16
velvetrope@yahoo.com,escapade_88,ZagitovaHanyu75
grim.evans@gmail.com,granite25,CurryYagudin28
frost.dragonfly@yahoo.com,hawk17,CurrySakamoto74
foudre.frost@hotmail.com,hurley35,UnoKagiyama83
stonewall.dragonfly@hotmail.com,sharp49,LipinskiZagitova64
lance.foudre@yahoo.com,vanguard58,KagiyamaLipinski21
blaze.lance@yahoo.com,blaze58,TrusovaKihira18
valiant.evans@hotmail.com,vanguard17,ZagitovaKagiyama24
escapade@hotmail.com,control_10,LipinskiSakamoto75
kane.lachance@gmail.com,greenway13,UnoHagara89
